IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
158.180.24.71,443,true,FRA,Europe,Frankfurt,256 ms,6463 kB/s
158.180.49.183,443,true,FRA,Europe,Frankfurt,266 ms,6398 kB/s
192.18.150.121,443,true,YYZ,North America,Toronto,256 ms,6177 kB/s
158.101.209.150,443,true,FRA,Europe,Frankfurt,256 ms,6152 kB/s
150.230.121.180,443,true,FRA,Europe,Frankfurt,267 ms,6136 kB/s
158.101.207.116,443,true,FRA,Europe,Frankfurt,275 ms,6024 kB/s
141.144.234.84,443,true,FRA,Europe,Frankfurt,254 ms,5941 kB/s
193.123.33.187,443,true,FRA,Europe,Frankfurt,258 ms,5937 kB/s
141.144.233.22,443,true,FRA,Europe,Frankfurt,281 ms,5934 kB/s
141.144.197.97,443,true,FRA,Europe,Frankfurt,274 ms,5699 kB/s
193.123.58.165,443,true,FRA,Europe,Frankfurt,268 ms,5679 kB/s
141.148.227.34,443,true,FRA,Europe,Frankfurt,271 ms,5424 kB/s
158.180.27.179,443,true,FRA,Europe,Frankfurt,261 ms,5394 kB/s
141.147.4.10,443,true,FRA,Europe,Frankfurt,255 ms,5167 kB/s
144.21.34.64,443,true,FRA,Europe,Frankfurt,255 ms,5106 kB/s
152.70.176.74,443,true,FRA,Europe,Frankfurt,260 ms,4864 kB/s
141.147.47.36,443,true,FRA,Europe,Frankfurt,256 ms,4838 kB/s
158.101.221.105,443,true,FRA,Europe,Frankfurt,252 ms,4837 kB/s
89.168.108.191,443,true,FRA,Europe,Frankfurt,275 ms,4751 kB/s
84.8.149.161,443,true,FRA,Europe,Frankfurt,257 ms,4738 kB/s
155.248.202.141,443,true,SJC,North America,San Jose,178 ms,4684 kB/s
129.151.205.193,443,true,ARN,Europe,Stockholm,276 ms,4559 kB/s
144.21.59.49,443,true,FRA,Europe,Frankfurt,273 ms,4553 kB/s
132.226.208.24,443,true,FRA,Europe,Frankfurt,275 ms,4552 kB/s
158.101.202.22,443,true,FRA,Europe,Frankfurt,264 ms,4501 kB/s
141.147.72.31,443,true,FRA,Europe,Frankfurt,261 ms,4471 kB/s
192.18.139.229,8443,true,SJC,North America,San Jose,192 ms,4430 kB/s
152.70.51.28,443,true,FRA,Europe,Frankfurt,272 ms,4293 kB/s
130.162.241.166,443,true,FRA,Europe,Frankfurt,286 ms,4258 kB/s
193.123.34.208,443,true,FRA,Europe,Frankfurt,274 ms,4136 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,259 ms,4037 kB/s
152.67.231.219,443,true,SJC,North America,San Jose,172 ms,4009 kB/s
129.146.213.36,80,true,LAX,North America,Los Angeles,240 ms,3947 kB/s
141.148.229.69,443,true,FRA,Europe,Frankfurt,275 ms,3554 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,235 ms,3496 kB/s
